# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sun May 30 04:54:07 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 10.00000 0.7379155755 2.3948941231    0.738 -0.205  3.7690  4.539    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.74e-14      0.00 8.041e-01 1.944e-01 2.824e-04 7.711e-05 7.017e-04 -1.000 1.574e-03 5.282 5.819 5.935 5.383 5.020 4.686 4.280 3.947 3.905
0.002 -0.88764 10.00000 0.7452381253 2.3979430199    0.745 -0.174  3.7723  4.525    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.31e-14      0.00 8.058e-01 1.926e-01 2.797e-04 7.651e-05 6.964e-04 -1.000 1.563e-03 5.205 5.714 5.842 5.302 4.946 4.618 4.219 3.892 3.852
0.002 -0.88764 10.00000 0.7544487715 2.4016816616    0.754 -0.134  3.7758  4.505    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -5.92e-14      0.00 8.091e-01 1.894e-01 2.756e-04 7.542e-05 6.867e-04 -1.000 1.500e-03 5.106 5.587 5.727 5.200 4.852 4.529 4.138 3.816 3.779
0.002 -0.88764 10.00000 0.7636744976 2.4053225517    0.763 -0.094  3.7792  4.484    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -6.61e-14      0.00 8.126e-01 1.859e-01 2.713e-04 7.427e-05 6.763e-04 -1.000 1.502e-03 5.005 5.459 5.610 5.097 4.755 4.437 4.054 3.738 3.703
0.002 -0.88764 10.00000 0.7763460279 2.4101614952    0.776 -0.037  3.7836  4.451    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -7.77e-14      0.00 8.176e-01 1.808e-01 2.650e-04 7.259e-05 6.613e-04 -1.000 1.531e-03 4.862 5.289 5.448 4.950 4.616 4.306 3.932 3.625 3.592
0.002 -0.88764 10.00000 0.7882716656 2.4145526886    0.787  0.019  3.7875  4.417    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -6.47e-14      0.00 8.227e-01 1.758e-01 2.586e-04 7.090e-05 6.461e-04 -1.000 1.471e-03 4.722 5.126 5.289 4.806 4.480 4.176 3.811 3.510 3.479
0.002 -0.88764 10.00000 0.7928571701 2.4162006378    0.792  0.042  3.7889  4.403    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -9.73e-14      0.00 8.248e-01 1.738e-01 2.560e-04 7.021e-05 6.400e-04 -1.000 1.433e-03 4.666 5.062 5.227 4.749 4.426 4.125 3.762 3.464 3.434
0.002 -0.88764 10.00000 0.7930966616 2.4162862301    0.792  0.043  3.7890  4.402    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -9.76e-14      0.00 8.249e-01 1.737e-01 2.559e-04 7.018e-05 6.397e-04 -1.000 1.431e-03 4.663 5.059 5.224 4.746 4.423 4.122 3.760 3.462 3.432
0.002 -0.88764 10.00000 0.8014934063 2.4192457199    0.801  0.086  3.7915  4.374    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-13      0.00 8.287e-01 1.699e-01 2.516e-04 6.905e-05 6.296e-04 -1.000 1.414e-03 4.556 4.939 5.105 4.637 4.319 4.022 3.665 3.372 3.344
0.002 -0.88764 10.00000 0.8096901774 2.4220669270    0.809  0.129  3.7938  4.344    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 8.322e-01 1.663e-01 2.478e-04 6.802e-05 6.204e-04 -1.000 1.410e-03 4.447 4.819 4.986 4.526 4.213 3.919 3.568 3.279 3.252
0.002 -0.88764 10.00000 0.8205275536 2.4256975651    0.819  0.189  3.7965  4.301    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-13      0.00 8.366e-01 1.620e-01 2.432e-04 6.680e-05 6.097e-04 -1.000 1.359e-03 4.298 4.658 4.824 4.374 4.067 3.778 3.432 3.148 3.122
0.002 -0.88764 10.00000 0.8306816816 2.4290006161    0.829  0.248  3.7983  4.254    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-13      0.00 8.397e-01 1.590e-01 2.402e-04 6.602e-05 6.028e-04 -1.000 1.377e-03 4.151 4.503 4.667 4.225 3.922 3.636 3.295 3.014 2.989
0.002 -0.88764 10.00000 0.8396354914 2.4318370819    0.838  0.303  3.7994  4.208    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-13      0.00 8.408e-01 1.578e-01 2.395e-04 6.584e-05 6.013e-04 -1.000 1.398e-03 4.013 4.361 4.522 4.085 3.784 3.501 3.162 2.883 2.859
0.002 -0.88764 10.00000 0.8404761553 2.4320998192    0.839  0.308  3.7995  4.203    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-13      0.00 8.409e-01 1.577e-01 2.394e-04 6.583e-05 6.013e-04 -1.000 1.400e-03 3.999 4.348 4.508 4.071 3.771 3.488 3.149 2.871 2.847
0.002 -0.88764 10.00000 0.8407771587 2.4321937561    0.839  0.310  3.7995  4.202    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.21e-13      0.00 8.408e-01 1.578e-01 2.395e-04 6.585e-05 6.015e-04 -1.000 1.400e-03 3.995 4.343 4.503 4.067 3.766 3.483 3.144 2.866 2.842
0.002 -0.88764 10.00000 0.8416348100 2.4324610233    0.840  0.316  3.7996  4.197    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-13      0.00 8.407e-01 1.579e-01 2.398e-04 6.593e-05 6.022e-04 -1.000 1.402e-03 3.981 4.329 4.489 4.052 3.752 3.469 3.130 2.853 2.828
0.002 -0.88764 10.00000 0.8446832895 2.4334056377    0.843  0.337  3.7996  4.177    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-13      0.00 8.402e-01 1.584e-01 2.407e-04 6.619e-05 6.046e-04 -1.000 1.407e-03 3.928 4.277 4.435 3.999 3.700 3.417 3.078 2.800 2.776
0.002 -0.88764 10.00000 0.8505167365 2.4351918697    0.849  0.380  3.7988  4.134    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -2.78e-13      0.00 8.391e-01 1.594e-01 2.426e-04 6.670e-05 6.093e-04 -1.000 1.406e-03 3.821 4.175 4.329 3.892 3.591 3.307 2.967 2.688 2.663
